Date_Time,KWperTon,Teo,Tei,Fevap,Tci,Tco,Fcond,Pei,Peo,Pco,Pci,A_kW,B_kW
41085.625,0.53,38.7,53.9,3947,76.9,0,8323,109.2,105,12.7,18.4,672,648
41085.63542,0.53,38.8,53.9,3967,77,0,8385,108.6,104.4,12.8,18.8,673,649
41085.64583,0.53,38.8,53.9,3908,77,0,8341,108.1,103.7,12.9,18.8,662,639
41085.65625,0.52,38.8,53.9,3948,76.7,0,8315,107.3,103.1,12.7,18.6,659,635
41085.66667,0.53,38.8,53.9,3948,76.7,0,8392,106.5,102.6,12.7,18.5,665,641
41085.67708,0.53,38.8,53.8,3902,76.7,0,8414,106.4,101.8,12.7,18.4,654,631
41085.6875,0.52,38.8,53.9,3862,76.1,0,8417,105.1,101.3,12.9,18.6,642,618
41085.69792,0.52,38.8,53.8,3933,75.9,0,8461,110.6,106.5,12.8,18.6,645,621
41085.70833,0.51,38.8,53.6,3926,75.8,0,8373,109.8,105.8,12.9,18.9,627,606
41085.71875,0.51,38.8,53.7,3862,75.5,0,8324,109.3,104.9,12.8,18.6,619,597
41085.72917,0.51,38.9,53.5,3908,76,0,8354,108.9,104.6,12.7,18.7,624,603
41085.73958,0.52,38.8,53.6,3827,76.1,0,8339,107.9,103.6,12.8,18.8,620,600
41085.75,0.51,38.8,53.5,3877,76.1,0,8331,106.7,102.7,12.7,18.6,621,601
41085.76042,0.51,38.9,53.6,3889,75.9,0,8347,106.4,102.4,12.8,18.4,617,596
41085.77083,0.52,38.9,53.5,3840,76,0,8372,106.1,101.6,12.8,18.6,619,598
41085.78125,0.51,38.8,53.6,3876,75.9,0,8306,105.4,100.9,12.6,18.4,622,600
41085.79167,0.51,38.9,53.6,3869,75.7,0,8366,110.4,106.3,12.7,18.5,608,588
41085.80208,0.52,38.8,53.6,3804,75.9,0,8404,110.2,105.3,12.9,18.7,620,599
41085.8125,0.51,38.8,53.6,3859,76,0,8365,109.1,104.8,12.9,18.6,619,597
41085.82292,0.51,38.9,53.6,3908,75.9,0,8347,108.3,104.2,12.9,18.9,625,603
41085.83333,0.52,38.8,53.6,3828,76.1,0,8395,107.6,103.6,12.9,18.6,621,600
41085.84375,0.51,38.9,53.7,3874,76.2,0,8399,107,103.1,12.7,18.7,626,605
41085.85417,0.52,38.9,53.7,3875,76.2,0,8381,106.3,102.4,12.8,18.6,629,607
41085.86458,0.51,38.6,53.8,3745,75.7,0,8366,105.5,101.7,12.8,18.7,617,595
41085.875,0.5,38.7,53.6,3737,75.2,0,8438,104.5,100.7,12.9,18.6,589,569
41085.88542,0.5,38.7,53.4,3638,74.7,0,8537,109.6,106.2,12.7,18.7,562,544
41085.89583,0.49,38.8,53.3,3680,74.2,0,8423,108.9,105.3,12.9,18.7,553,535
41085.90625,0.48,38.8,53.2,3609,73.6,0,8387,108,104.7,13,18.8,529,512
41085.91667,0.48,38.6,53.2,3530,73.1,0,8372,107.7,104.2,12.9,18.7,519,502
41085.92708,0.46,38.8,53,3503,72.6,0,8378,104.8,101.2,13,18.7,481,468
41085.9375,0.46,38.7,52.9,3422,72.3,0,8343,108.2,104.8,12.9,18.6,470,457
41085.94792,0.46,38.8,52.9,3397,72.2,0,8360,107.3,103.8,13,18.8,462,450
41085.95833,0.46,38.8,52.9,3404,72.2,0,8362,106.3,103,12.7,18.4,465,452
41085.96875,0.46,38.9,52.9,3456,72.2,0,8395,106,102.3,12.9,18.6,473,460
41085.97917,0.45,38.9,53,3561,72.3,0,8361,104.9,101.4,12.8,18.6,484,470
41085.98958,0.46,38.9,53,3515,72.5,0,8366,104.6,101.1,12.7,18.5,479,466
41086,0.46,38.9,53,3547,72.5,0,8360,103.6,100.6,12.8,18.6,488,474
41086.01042,0.46,38.7,52.9,3395,72.1,0,8439,109.5,106.6,12.8,18.6,470,456
41086.02083,0.45,38.8,52.8,3328,71.2,0,8332,108.6,105.6,12.8,18.4,446,434
41086.03125,0.44,38.8,52.7,3302,71.3,0,8274,107.4,104.4,12.7,18.6,429,418
41086.04167,0.43,38.7,52.5,3208,70.3,0,8391,106.7,103.8,12.9,18.5,404,394
41086.05208,0.41,38.6,52.4,3111,69.2,0,8373,106,103.1,12.9,18.7,375,365
41086.0625,0.41,38.7,52.1,3005,68.2,0,8301,105.2,102.6,12.8,18.7,348,339
41086.07292,0.39,38.7,52.1,2900,67.3,0,8367,108.6,106.3,12.9,18.6,321,312
41086.08333,0.39,38.7,51.7,2735,66.4,0,8315,107.6,105.1,12.9,18.7,293,284
41086.09375,0.37,38.8,51.7,2747,65.4,0,8357,106.8,104.6,12.6,18.6,277,268
41086.10417,0.36,38.8,51.5,2636,65.1,0,8346,106,103.8,12.9,18.6,260,251
41086.11458,0.36,38.8,51.6,2630,64.6,0,8271,104.9,102.6,12.9,18.7,257,248
41086.125,0.36,38.7,51.5,2363,64.2,0,8514,106.9,105.1,12.8,18.6,240,221
41086.13542,0.36,38.8,51.6,2314,63.4,0,8309,107.4,105.7,12.9,18.6,233,216
41086.14583,0.34,38.7,51.5,2344,62.7,0,8333,106.9,105.3,12.8,18.6,223,205
41086.15625,0.34,38.6,51.4,2336,62,0,8274,106.5,104.5,12.7,18.6,217,201
41086.16667,0.32,38.3,51.1,2268,61.1,0,8390,104.1,102.6,12.7,18.6,205,187
41086.17708,0.3,39,51.1,2577,60.6,0,8294,104,101.9,12.8,18.6,201,192
41086.1875,0.31,39.1,50.9,2621,60.9,0,8361,103,100.9,12.9,18.6,202,194
41086.19792,0.31,39.7,51.1,2968,61.1,0,8411,103.2,100.5,12.8,18.5,226,221
41086.20833,0.32,39.1,51.1,2994,60.8,0,8366,107.8,105,12.9,18.6,243,236
41086.21875,0.32,38.8,50.9,3083,60.6,0,8361,107.3,104.5,12.8,18.8,252,245
41086.22917,0.32,38.6,51,2960,60.3,0,8378,106.5,103.9,12.8,18.6,248,240
41086.23958,0.32,38.9,51,2962,60.4,0,8271,105.6,102.9,12.7,18.8,244,235
41086.25,0.32,38.8,50.9,2870,59.7,0,8363,105,102.4,12.9,18.6,232,225
41086.26042,0.31,38.8,50.8,2900,59.3,0,8380,104.1,101.7,12.9,18.7,227,220
41086.27083,0.3,38.6,50.8,2856,59.3,0,8334,103.6,101.2,12.8,18.7,224,216
41086.28125,0.3,38.7,50.7,2864,59,0,8334,103.2,100.8,12.9,18.6,223,215
41086.29167,0.3,38.5,50.8,2806,59,0,8405,107,104.6,12.9,18.5,220,212
41086.30208,0.3,39,50.8,2900,59.2,0,8339,106.3,103.8,12.9,18.6,220,213
41086.3125,0.3,38.8,50.6,2945,59,0,8300,105.7,102.9,12.7,18.7,219,212
41086.32292,0.3,38.8,50.9,2885,58.9,0,8396,104.9,102.5,12.7,18.5,221,213
41086.33333,0.3,38.9,50.8,2917,59.1,0,8360,104.6,102.2,12.8,18.6,223,215
41086.34375,0.3,39,50.9,2979,59.3,0,8285,103.8,101.2,12.7,18.7,226,218
41086.35417,0.31,39,51,2968,59.4,0,8345,103,100.7,12.8,18.6,232,225
41086.36458,0.31,38.8,51,2996,59.6,0,8341,106.3,103.8,12.9,18.4,241,233
41086.375,0.31,38.9,51.3,3029,60,0,8345,105.7,103.1,12.9,18.4,248,240
41086.38542,0.31,38.9,51.3,3091,59.6,0,8316,104.1,101.4,12.9,18.5,252,244
41086.39583,0.32,38.9,51.4,3043,59.7,0,8372,108.7,106,12.8,18.6,256,247
41086.40625,0.32,38.7,51.5,3005,59.7,0,8360,107.6,105,12.9,18.5,261,252
41086.41667,0.32,39.1,52,3116,60,0,8328,107.1,104.2,12.6,18.6,271,264
41086.42708,0.32,39,51.6,3119,60.1,0,8361,107.7,104.7,12.8,18.6,269,259
41086.4375,0.32,39.1,51.8,3287,60.3,0,8330,106.5,103.4,12.9,18.5,287,277
41086.44792,0.33,38.9,51.9,3290,60.3,0,8376,106.2,103.2,12.8,18.6,299,288
41086.45833,0.33,38.9,52,3365,60.4,0,8348,105.4,102.2,12.9,18.7,313,300
41086.46875,0.33,38.8,52.1,3426,60.3,0,8332,104.9,101.8,12.8,18.5,321,307
41086.47917,0.32,38.8,52.2,3350,60.4,0,8420,104,101,12.9,18.4,308,295
41086.48958,0.33,39,52.1,3325,60.5,0,8308,103.5,100.7,12.8,18.5,303,292
41086.5,0.33,38.9,52.1,3331,61,0,8347,108.7,105.8,12.8,18.7,310,299
41086.51042,0.33,38.6,52.1,3279,60.7,0,8339,108.4,105.1,12.9,18.8,310,298
41086.52083,0.33,39,52.3,3373,60.7,0,8328,106.8,103.7,12.7,18.5,314,302
41086.53125,0.33,39,52.4,3389,61,0,8406,106.3,103.2,12.7,18.6,320,307
41086.54167,0.34,38.8,52.5,3399,61.3,0,8354,105.4,102.2,12.9,18.6,336,322
41086.55208,0.35,38.7,52.5,3248,61.9,0,8445,104.2,101.5,13,18.6,331,317
41086.5625,0.36,39.1,52.7,3320,62,0,8226,103.9,101.1,13,18.5,344,330
41086.57292,0.34,38.9,52.9,3482,62,0,8300,108.7,105.5,12.8,18.7,356,340
41086.58333,0.36,38.9,52.7,3441,62.5,0,8369,108.4,104.8,12.9,18.6,367,351
41086.59375,0.37,38.9,52.8,3493,62.8,0,8388,107.2,103.6,13,18.8,378,361
41086.60417,0.37,38.8,52.8,3495,62.8,0,8330,107.2,103.6,13,18.5,386,368
41086.61458,0.37,38.9,52.8,3520,62.9,0,8286,105.9,102.3,13,18.7,386,368
41086.625,0.37,39,52.9,3599,63.1,0,8450,104.5,101.1,12.7,18.5,395,375
41086.63542,0.38,38.8,52.8,3521,63.6,0,8276,108.4,105.2,12.9,18.7,401,384
41086.64583,0.37,38.9,52.9,3603,63.1,0,8490,107.8,104.3,12.9,18.6,402,383
41086.65625,0.37,38.9,53,3591,62.9,0,8333,107,103.6,13,18.6,403,383
41086.66667,0.37,38.8,53,3596,63.4,0,8317,106.2,102.8,12.9,18.6,404,385
41086.67708,0.38,38.8,52.9,3568,63.7,0,8344,105.4,102.1,12.9,18.6,409,390
41086.6875,0.38,38.9,52.9,3592,63.6,0,8480,105.1,101.5,12.8,18.5,413,394
41086.69792,0.38,38.8,53,3547,63.6,0,8396,104.4,101.1,13,18.7,409,391
41086.70833,0.38,39,53,3614,63.8,0,8315,108.4,104.6,12.8,18.6,415,397
41086.71875,0.38,38.8,53,3531,63.8,0,8339,107.2,103.8,12.8,18.7,406,389
41086.72917,0.39,38.8,52.9,3582,64.4,0,8326,106.7,103.3,12.9,18.6,416,398
41086.73958,0.39,38.8,53.1,3530,64.2,0,8339,106.2,102.6,12.9,18.7,415,397
41086.75,0.38,38.9,53.1,3517,64.1,0,8408,104.9,101.6,13,19,408,391
41086.76042,0.38,38.8,53.1,3551,64,0,8315,104.2,100.3,12.9,18.5,408,389
41086.77083,0.38,39,53,3508,63.7,0,8474,107.5,104.1,13,18.8,393,378
41086.78125,0.38,38.8,52.9,3444,63.7,0,8317,106.5,103.2,12.8,18.5,393,377
41086.79167,0.38,38.8,52.9,3433,64.1,0,8330,105.7,102.5,12.7,18.6,395,378
41086.80208,0.38,38.9,52.9,3452,63.6,0,8351,105.4,101.7,12.9,18.6,389,373
41086.8125,0.37,38.8,52.8,3422,63.7,0,8345,104.4,101.2,12.8,18.8,382,366
41086.82292,0.38,38.8,52.9,3313,63.7,0,8262,107.9,104.4,12.7,18.4,374,359
41086.83333,0.38,38.7,52.8,3299,63.6,0,8382,107,103.8,13,18.5,373,357
41086.84375,0.37,38.8,52.8,3291,63.4,0,8423,106,103.1,12.8,18.5,361,345
41086.85417,0.37,38.8,52.7,3241,63.5,0,8399,105.2,102.1,12.9,18.6,351,337
41086.86458,0.36,39,52.5,3302,63.5,0,8309,104.4,101.3,12.9,18.6,344,331
41086.875,0.37,38.8,52.6,3190,63.6,0,8331,108.7,106,12.8,18.8,342,329
41086.88542,0.37,38.7,52.3,3096,63.5,0,8345,107.4,104.7,12.9,18.7,328,317
41086.89583,0.36,38.8,52.2,3164,63.4,0,8431,106.8,103.8,12.8,18.7,320,310
41086.90625,0.36,38.9,52,3137,63.3,0,8372,106,103.5,12.9,18.7,313,303
41086.91667,0.35,38.8,52,3100,63.3,0,8354,105.1,102.3,12.9,18.5,309,299
41086.92708,0.36,38.8,51.9,3017,63.1,0,8329,104.3,101.5,12.9,18.5,301,291
41086.9375,0.35,38.9,51.9,3010,62.9,0,8383,103.5,100.7,12.8,18.7,293,283
41086.94792,0.35,38.9,51.8,3035,62.6,0,8433,106.8,104.2,12.9,18.7,289,279
41086.95833,0.35,38.8,51.6,2979,62.7,0,8408,106.3,103.5,13,18.9,283,275
